pedidos,casos,id_general,estado,organismo_informante,nro_de_expediente_interno,forma_del_pedido,punto_de_ingreso,sector_al_que_se_dirige_la_solicitud,isodatetime_fecha_de_recepcion_de_la_solicitud_por_el_organismo,fecha_de_recepcion_de_la_solicitud_por_el_organismo,isodatetime_fecha_de_recepcion_de_la_solicitud_por_el_enlace,fecha_de_recepcion_de_la_solicitud_por_el_enlace,perfil_del_solicitante,sintesis_de_la_solicitud,rubro_de_solicitud_de_informacion,sector_al_que_derivo_el_enlace_dentro_del_organismo,plazo_en_el_que_se_contesto_la_solicitud,forma_de_aviso_de_uso_de_la_prorroga_al_solicitante,condicion_de_respuesta,isodatetime_fecha_de_la_respuesta,fecha_de_la_respuesta,cargo_del_funcionario_que_firma_la_entrega_de_la_informacion
134.0,219,MS-23/2015,Cerrado en plazo,Ministerio de Salud,13022/15-4,Nota,Mesa General de entradas,M. de Salud,2015-06-01T00:00:00-03:00,6/1/2015,2015-06-01T00:00:00-03:00,6/1/2015,Particular,inf.s/acciones realizadas para combatir epidemias,Implementación de políticas públicas,Sec. de Promc y Prog. Sanitarios,En el plazo máximo de 20 días,Por carta,Brindó la información,2015-06-30T00:00:00-03:00,30/06/2015,Sec. De Promc Y Prog. Sanitarios
135.0,220,MS-23/2015,Cerrado en plazo,Ministerio de Salud,13033/15-5,Nota,Mesa General de entradas,M. de Salud,2015-06-01T00:00:00-03:00,6/1/2015,2015-06-01T00:00:00-03:00,6/1/2015,Estudiante,inf.precio cuotas medicina prepaga,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",Sec. de Coordinacion,En el plazo de 10 días,Por carta,Brindó la información,2015-06-12T00:00:00-03:00,12/06/2015,Sec. De Coordinacion
136.0,221,MS-23/2015,Abierto,Ministerio de Salud,13142/15-9,Nota,Mesa General de entradas,M. de Salud,2015-06-03T00:00:00-03:00,6/3/2015,2015-06-03T00:00:00-03:00,6/3/2015,Estudiante,inf.s/medicación oncológica,Implementación de políticas públicas,Sec. de Promc y Prog. Sanitarios,,Por carta,Pendiente,,,
136.0,222,MS-24/2015,Cerrado en plazo,Ministerio de Salud,13142/15-9,Nota,Mesa General de entradas,M. de Salud,2015-06-03T00:00:00-03:00,6/3/2015,2015-06-03T00:00:00-03:00,6/3/2015,Estudiante,inf.s/situación enfermos de cáncer en el país,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",Sec. de Promc y Prog. Sanitarios,En el plazo máximo de 20 días,Por carta,Brindó la información,2015-06-25T00:00:00-03:00,25/06/2015,"Sec. De Politica, Reg. E Institutos"
137.0,223,MS-25/2015,Cerrado en plazo,Ministerio de Salud,15711/15-0,Nota,Mesa General de entradas,M. de Salud,2015-06-25T00:00:00-03:00,6/25/2015,2015-06-25T00:00:00-03:00,6/25/2015,Senador/Diputado u otro cargo electo,inf.relacionada con la Lic.Pub.Nº4/15 (kits para recien nacidos),"Contrataciones, licitaciones y concesiones públicas",Sec. de Coordinacion,En el plazo máximo de 20 días,Por carta,Brindó la información,2015-07-15T00:00:00-03:00,15/07/2015,Sec. De Coordinacion
138.0,224,MS-26/2015,Cerrado en plazo,Ministerio de Salud,16683/15-0,Nota,Mesa General de entradas,M. de Salud,2015-07-06T00:00:00-03:00,7/6/2015,2015-07-06T00:00:00-03:00,7/6/2015,Organización Social Comunitaria,inf.s/programa SIDA,Implementación de políticas públicas,Sec. de Promc y Prog. Sanitarios,En el plazo de 10 días,,Brindó la información,2015-07-10T00:00:00-03:00,10/07/2015,Ss.De Prev Y Control De Riesgos
139.0,225,MS-27/2015,Cerrado en plazo,Ministerio de Salud,18422/14-1,Nota,Mesa General de entradas,M. de Salud,2015-07-10T00:00:00-03:00,7/10/2015,2015-07-10T00:00:00-03:00,7/10/2015,Particular,inf.vista Licitaciones varias s/SIDA,"Contrataciones, licitaciones y concesiones públicas",Sec. de Coordinacion,En el plazo máximo de 20 días,Por carta,Brindó la información,2015-07-24T00:00:00-03:00,24/07/2015,Sec. De Coordinacion
139.0,226,MS-28/2015,Cerrado en plazo,Ministerio de Salud,18422/14-1,Nota,Mesa General de entradas,M. de Salud,2015-07-10T00:00:00-03:00,7/10/2015,2015-07-10T00:00:00-03:00,7/10/2015,Particular,inf.vista expte.Lic.recurrido s/SIDA,"Contrataciones, licitaciones y concesiones públicas",Sec. de Coordinacion,En el plazo de 10 días,,Brindó la información,2015-07-17T00:00:00-03:00,17/07/2015,Sec. De Coordinacion
139.0,227,MS-29/2015,Cerrado en plazo,Ministerio de Salud,18422/14-1,Nota,Mesa General de entradas,M. de Salud,2015-07-10T00:00:00-03:00,7/10/2015,2015-07-10T00:00:00-03:00,7/10/2015,Particular,inf.vista expte.lic.en archivo s/SIDA,"Contrataciones, licitaciones y concesiones públicas",Sec. de Coordinacion,En el plazo de 10 días,,Brindó la información,2015-07-13T00:00:00-03:00,13/07/2015,Sec. De Coordinacion
140.0,228,MEC 001/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01: 0002694/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-01-06T00:00:00-03:00,1/6/2015,2015-01-06T00:00:00-03:00,1/6/2015,Particular,Solicita detalles de los trabajadores de planta del Ministerio de Economía.,Políticas de Recursos Humanos,Ss. de Adm y Normaliz. Patrimonial,Aún no se contestó,,Pendiente,,,
141.0,229,MEC 002/15,Cerrado en plazo,Ministerio de Economía y Finanzas Públicas,EXP-S01: 0027844/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-02-06T00:00:00-03:00,2/6/2015,2015-02-06T00:00:00-03:00,2/6/2015,Particular,Solicita información referente a la ejecución presupuestaria de la Dirección de Vialidad.,Asignación de presupuesto,Sec. de Hacienda,En el plazo de 10 días,,Brindó la información,2015-02-24T00:00:00-03:00,24/02/2015,Ss.De Presupuesto
142.0,230,MEC 003/15,Cerrado en plazo,Ministerio de Economía y Finanzas Públicas,EXP-S01: 0028258/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-02-09T00:00:00-03:00,2/9/2015,2015-02-09T00:00:00-03:00,2/9/2015,Senador/Diputado u otro cargo electo,Solicita información del presupuesto ejecutado de los Organismos que conforman el Sistema de Inteligencia Nacional con el mismo nivel de desagregación que se encuentra publicado el presupuesto.,Asignación de presupuesto,Sec. de Hacienda,En el plazo máximo de 20 días,Por carta,Brindó la información,2015-02-27T00:00:00-03:00,27/02/2015,Ss.De Presupuesto
143.0,231,MEC 004/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01: 0044982/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-03-04T00:00:00-03:00,3/4/2015,2015-03-04T00:00:00-03:00,3/4/2015,Sindicato,Solicitan el material filmico del día 27/02/2015 donde figuran las agresiones hacia las personas de la Asociación por parte del Director General de Administración del Ministerio.,Otros ,Sec. Legal y Administrativa,Aún no se contestó,,Pendiente,,,
144.0,232,MEC 005/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01: 0048411/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-03-09T00:00:00-03:00,3/9/2015,2015-03-09T00:00:00-03:00,3/9/2015,Medios de comunicación,Reitera perdido de información sobre la venta de granos al exterior.,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",Sec. de Comercio Interior,Aún no se contestó,,Pendiente,,,
145.0,233,MEC 006/15,Cerrado en plazo,Ministerio de Economía y Finanzas Públicas,EXP-S01: 0048416/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-03-09T00:00:00-03:00,3/9/2015,2015-03-09T00:00:00-03:00,3/9/2015,Medios de comunicación,Solicita información de expedientes antiguos.,Actuaciones administrativas,Ss. de Adm y Normaliz. Patrimonial,En el plazo máximo de 20 días,Por carta,Brindó la información,2015-04-06T00:00:00-03:00,06/04/2015,Ss. De Adm Y Normaliz. Patrimonial
146.0,234,MEC 007/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01: 0052509/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-03-13T00:00:00-03:00,3/13/2015,2015-03-13T00:00:00-03:00,3/13/2015,Particular,Solicita información sobre la distribución del Producto Bruto Interno (PBI),"Información Estadística, Informes, Estudios e Investigaciones Oficiales",Sec. de Politica Economica,Aún no se contestó,,Pendiente,,,
147.0,235,MEC 008/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01: 0052889/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-03-18T00:00:00-03:00,3/18/2015,2015-03-18T00:00:00-03:00,3/18/2015,Particular,"Solicita información respecto a los análisis, estudios y/o conclusiones a que haya arribado el Grupo de Trabajo (Resolución Conjunta 693/2011 y 1900/2011)","Información Estadística, Informes, Estudios e Investigaciones Oficiales",Sec. de Hacienda,Aún no se contestó,,Pendiente,,,
148.0,236,MEC 009/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01: 0057418/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-03-18T00:00:00-03:00,3/18/2015,2015-03-18T00:00:00-03:00,3/18/2015,Senador/Diputado u otro cargo electo,Reitera pedido de información sobre el presupuesto ejecutado de los Organismos que conforman el Sistema de Inteligencia Nacional con el mismo nivel de desagregación que se encuentra publicado el presupuesto.,Asignación de presupuesto,Sec. de Hacienda,Aún no se contestó,,Pendiente,,,
149.0,237,MEC 010/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01: 0062368/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-03-26T00:00:00-03:00,3/26/2015,2015-03-26T00:00:00-03:00,3/26/2015,Senador/Diputado u otro cargo electo,Solicita información referente a las contrataciones de personas con discapacidad en las empresas del Estado y privadas.,Implementación de políticas públicas,Ss. de Adm y Normaliz. Patrimonial,Aún no se contestó,,Pendiente,,,
150.0,238,MEC 011/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01: 0062264/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-03-26T00:00:00-03:00,3/26/2015,2015-03-26T00:00:00-03:00,3/26/2015,Sindicato,Solicitan información sobre los concursos que a través de los cuales se asignarán los 898 cargos vacantes y financiados descOrganización Social Comunitariaelados.,Políticas de Recursos Humanos,Ss. de Adm y Normaliz. Patrimonial,Aún no se contestó,,Pendiente,,,
151.0,239,MEC 012/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01: 0062785/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-03-27T00:00:00-03:00,3/27/2015,2015-03-27T00:00:00-03:00,3/27/2015,Particular,Solicita información refente a la ejecución presupuestaria de la jurisdicción 850 (Aministración Nacional de la Seguridad Social),Asignación de presupuesto,Sec. de Hacienda,Aún no se contestó,,Pendiente,,,
152.0,240,MEC 013/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01: 0064425/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-03-30T00:00:00-03:00,3/30/2015,2015-03-30T00:00:00-03:00,3/30/2015,Organización Social Comunitaria,Solicita vista y copias del expediente por el que tramita el proceso licitatorio de la Terminal 5 del Puerto de Buenos Aires.,Actuaciones administrativas,Ss. Coo. Econ. Mejora Comp.,Aún no se contestó,,Pendiente,,,
153.0,241,MEC 014/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01: 0069986/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-04-08T00:00:00-03:00,4/8/2015,2015-04-08T00:00:00-03:00,4/8/2015,Particular,Solicita conocer el número de registro de todo aquel expediente donde se concluyó sobre la existencia de subas irracionales de precios en que hubiera incurrido la empresa Volkswagen Argentina S.A.,Actuaciones administrativas,Sec. de Comercio Interior,Aún no se contestó,,Pendiente,,,
154.0,242,MEC 015/15,Cerrado en plazo,Ministerio de Economía y Finanzas Públicas,EXP-S01: 0071075/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-04-09T00:00:00-03:00,4/9/2015,2015-04-09T00:00:00-03:00,4/9/2015,Docente/Investigador,Solicita información sobre la asignación presupuestaria de subsidios a empresas de transporte público.,Asignación de presupuesto,Ministerio del Interior,En el plazo de 10 días,Por carta,Derivada a otro organismo,2015-04-09T00:00:00-03:00,09/04/2015,
155.0,243,MEC 016/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01:0075383/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-04-14T00:00:00-03:00,4/14/2015,2015-04-14T00:00:00-03:00,4/14/2015,Particular,Solicita información refente a la ejecución presupuestaria de diversas jurisdicciones.,Asignación de presupuesto,Sec. de Hacienda,Aún no se contestó,,Pendiente,,,
156.0,244,MEC 017/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01:0093429/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-05-05T00:00:00-03:00,5/5/2015,2015-05-05T00:00:00-03:00,5/5/2015,Particular,Solicita información referente al Impuesto a las Ganancias.,Implementación de políticas públicas,Sec. de Politica Economica,Aún no se contestó,,Pendiente,,,
157.0,245,MEC 018/15,Cerrado en plazo,Ministerio de Economía y Finanzas Públicas,EXP-S01:0093379/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-05-05T00:00:00-03:00,5/5/2015,2015-05-05T00:00:00-03:00,5/5/2015,Particular,Solicita información respectos de los cambios realizados en los planes de abono de las empresas telefónicas.,Otros ,M. de Planificacion Federal Inversion Publica y Servicios,En el plazo de 10 días,,Derivada a otro organismo,,,
158.0,246,MEC 019/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01:0094760/2015,Formulario Voluntario de Solicitud de Información,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-05-06T00:00:00-03:00,5/6/2015,2015-05-06T00:00:00-03:00,5/6/2015,Particular,Solicita información referente al plan Ahora 12,Implementación de políticas públicas,Sec. de Politica Economica,Aún no se contestó,,Pendiente,,,
159.0,247,MEC 020/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01:0103769/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-05-14T00:00:00-03:00,5/14/2015,2015-05-14T00:00:00-03:00,5/14/2015,Medios de comunicación,"Solicita la información desagregada respecto del gasto por programa para los años 2000, 2001, 2002, 2003, 2004 y 2005.",Asignación de presupuesto,Sec. de Hacienda,Aún no se contestó,,Pendiente,,,
160.0,248,MEC 021/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01:0115899/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-05-28T00:00:00-03:00,5/28/2015,2015-05-28T00:00:00-03:00,5/28/2015,Medios de comunicación,Solicita información desagregada de la Unidad Ejecutora del Bicentenario de la Revolución de Mayo de 1810-2010 para el período comprendido entre el 1 de enero de 2015 y hasta el último dato disponible.,Asignación de presupuesto,Sec. de Hacienda,Aún no se contestó,,Pendiente,,,
161.0,249,MEC 022/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01:0117194/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-05-29T00:00:00-03:00,5/29/2015,2015-05-29T00:00:00-03:00,5/29/2015,Particular,Solicita información respecto del abastecimiento actual de medicamentos oncológicos en el país.,Implementación de políticas públicas,Sec. de Comercio Interior,Aún no se contestó,,Pendiente,,,
162.0,250,MEC 023/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01:0120108/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-06-02T00:00:00-03:00,6/2/2015,2015-06-02T00:00:00-03:00,6/2/2015,Senador/Diputado u otro cargo electo,"Solicita información sobre ROE, actividad de la UCESCI y otras relacionadas con exportaciones.",Implementación de políticas públicas,Sec. de Comercio Interior,Aún no se contestó,,Pendiente,,,
163.0,251,MEC 024/15,Cerrado en plazo,Ministerio de Economía y Finanzas Públicas,EXP-S01:0131138/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-06-15T00:00:00-03:00,6/15/2015,2015-06-15T00:00:00-03:00,6/15/2015,Particular,Solicita la ejecución presupuestaria de varias jurisdicciones.,Asignación de presupuesto,Sec. de Hacienda,En el plazo máximo de 20 días,,Brindó la información,,,
164.0,252,MEC 025/15,Cerrado en plazo,Ministerio de Economía y Finanzas Públicas,EXP-S01:0132329/2015,Formulario Voluntario de Solicitud de Información,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-06-16T00:00:00-03:00,6/16/2015,2015-06-16T00:00:00-03:00,6/16/2015,Particular,"Solicita saber el gasto que se realizó en salud, presupuestado en los últimos 5 años.",Asignación de presupuesto,,En el plazo de 10 días,,Brindó la información,,,
165.0,253,MEC 026/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01:0147170/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-07-01T00:00:00-03:00,7/1/2015,2015-07-01T00:00:00-03:00,7/1/2015,Particular,Solicita el listado de los Bonos o Títulos del Estado Argentino bajo tasa LIBOR del período 2001 a 2011.,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",Sec. de Finanzas,Aún no se contestó,,Pendiente,,,
166.0,254,MEC 027/15,Cerrado en plazo,Ministerio de Economía y Finanzas Públicas,EXP-S01:0157290/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-07-10T00:00:00-03:00,7/10/2015,2015-07-10T00:00:00-03:00,7/10/2015,Senador/Diputado u otro cargo electo,Informe sobre el Convenio marco entre el Estado y Córdoba,Actuaciones administrativas,Sec. Legal y Administrativa,En el plazo máximo de 20 días,,Brindó la información,2015-07-29T00:00:00-03:00,29/07/2015,
167.0,255,MEC 028/15,Abierto,Ministerio de Economía y Finanzas Públicas,EXP-S01:0208473/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-08-19T00:00:00-03:00,8/19/2015,2015-08-19T00:00:00-03:00,8/19/2015,ONG,Solicita información sobre los antecedentes profesionales de varios directores del Banco de la Nación Argentina.,Actuaciones administrativas,Sec. de Finanzas,Aún no se contestó,,Pendiente,,,
168.0,256,MEC 029/15,Abierto,Ministerio de Economía y Finanzas Públicas,EXP-S01:0208475/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-08-19T00:00:00-03:00,8/19/2015,2015-08-19T00:00:00-03:00,8/19/2015,ONG,Solicita información referente a la designación de Delfina Rossi como directora del Banco de la Nación Argentina.,Actuaciones administrativas,Sec. de Finanzas,Aún no se contestó,,Pendiente,,,
169.0,257,MEC 030/15,Cerrado en plazo,Ministerio de Economía y Finanzas Públicas,EXP-S01:0213143/2015,Formulario Voluntario de Solicitud de Información,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-08-25T00:00:00-03:00,8/25/2015,2015-08-25T00:00:00-03:00,8/25/2015,Estudiante,"Solicita estados contables 2013 y 2014 de Radio y Televisión Argentina S.E., presupuestos y ejecución presupuestaria 2014-2015 de RTA S.E.",Asignación de presupuesto,Sec. de Hacienda,En el plazo de 10 días,,Brindó la información,2015-09-04T00:00:00-03:00,04/09/2015,Director Nacional de la Oficina Nacional de Presupuesto
170.0,258,MEC 031/15,Cerrado en plazo,Ministerio de Economía y Finanzas Públicas,EXP-S01:0219191/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-08-31T00:00:00-03:00,8/31/2015,2015-08-31T00:00:00-03:00,8/31/2015,Particular,Solicita copia de la Resolución N° 6 del 13/05/1994 de la Subsecretaría de Puertos y Vía Navegables.,Normativa/ documentos oficiales,Ss. de Puertos y Vias Naveg.,En el plazo máximo de 20 días,,Brindó la información,2015-09-15T00:00:00-03:00,15/09/2015,Despacho de la S.S. de Puertos y Vías Navegables
171.0,259,MEC 032/15,Cerrado en plazo,Ministerio de Economía y Finanzas Públicas,EXP-S01:0265989/2015,Formulario Voluntario de Solicitud de Información,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-09-17T00:00:00-03:00,9/17/2015,2015-09-17T00:00:00-03:00,9/17/2015,Particular,Solicita listado e información de todas las empresas del estado Argentino y/o con participación accionaria estatal.,Información político - institucional,Sec. de Politica Economica,En el plazo máximo de 20 días,Por carta,Brindó la información,2015-10-16T00:00:00-03:00,16/10/2015,Director Nacional de Empresas con Participación del estado
172.0,260,MEC 033/15,Abierto,Ministerio de Economía y Finanzas Públicas,EXP-S01:0279490/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-09-29T00:00:00-03:00,9/29/2015,2015-09-29T00:00:00-03:00,9/29/2015,Particular,"Solicitan se informe si en los registros del Ministerio existen datos relativos a operaciones comerciales y/o contractuales efectuadas por reparticiones del Estado Nacional con Ias firmas comerciales que detallan, y si éstas se encuentran registradas como proveedores del Estado y/o de alguna de sus reparticiones.","Contrataciones, licitaciones y concesiones públicas",Dirección General de Administración,Aún no se contestó,,Pendiente,,,
173.0,261,MEC 034/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01:0287046/2015,Formulario Voluntario de Solicitud de Información,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-10-06T00:00:00-03:00,10/6/2015,2015-10-06T00:00:00-03:00,10/6/2015,Particular,Valores de importaciones metalúrgicas en 2014.,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",Sec. de Comercio Interior,Aún no se contestó,,Pendiente,,,
174.0,262,MEC 035/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01:0289460/2015,Formulario Voluntario de Solicitud de Información,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-10-08T00:00:00-03:00,10/8/2015,2015-10-08T00:00:00-03:00,10/8/2015,Particular,Aumento de la inflación en la ciudad de Buenos Aires.,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",Sec. de Politica Economica,Aún no se contestó,,Pendiente,,,
175.0,263,MEC 036/15,Cerrado en plazo,Ministerio de Economía y Finanzas Públicas,EXP-S01:0294593/2015,Formulario Voluntario de Solicitud de Información,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-10-14T00:00:00-03:00,10/14/2015,2015-10-14T00:00:00-03:00,10/14/2015,Particular,Reuniones con acreedores privados por canje de deuda 2005 entre 2002-2005,Actuaciones administrativas,Sec. de Finanzas,En el plazo de 10 días,Por carta,Brindó la información,2015-11-02T00:00:00-03:00,02/11/2015,Coordinador.Sec. De Finanzas
176.0,264,MEC 037/15,Pendiente,Ministerio de Economía y Finanzas Públicas,EXP-S01:0304191/2015,Nota,Mesa General de entradas,M. de Economia y Finanzas Publicas,2015-10-23T00:00:00-03:00,10/23/2015,2015-10-23T00:00:00-03:00,10/23/2015,Particular,Medición factura telefónica,Otros ,Sec. de Comercio Interior,Aún no se contestó,,Pendiente,,,
177.0,265,MPL,Cerrado en plazo,"Ministerio de Planificación Federal, Inversión Publica y Servicios",29120/2015,Nota,Mesa General de entradas,M. de Planificacion Federal Inversion Publica y Servicios,2015-02-10T00:00:00-03:00,2/10/2015,2015-02-10T00:00:00-03:00,2/10/2015,Partido Político,No conforme con la respuesta del EXP-S01:304148/2015 en su puento 5. También consulta sobre la planta de personal de CONAE y solicita el listado de los entes descentralizados de este Ministerio.,Políticas de Recursos Humanos,Ss. de Coord. y Control de Gestion,En el plazo máximo de 20 días,Por carta,Brindó la información,2015-03-11T00:00:00-03:00,11/03/2015,Ss. de Coord. y Control de Gestion
178.0,266,MPL,Cerrado fuera de plazo,"Ministerio de Planificación Federal, Inversión Publica y Servicios",37878/205,Nota,Mesa General de entradas,M. de Planificacion Federal Inversion Publica y Servicios,2015-02-25T00:00:00-03:00,2/25/2015,2015-02-25T00:00:00-03:00,2/25/2015,Particular,"Solicita copias de las Notas de la Secretaría de Energía nº 6852/13,4012/14,486/14 y 1136, con sus respectivos anexos, en relación con el Mecanismo de Monitoreo de Costos",Actuaciones administrativas,Sec. de Energia,"Se contestó, pero luego de los 20 días",,Brindó la información,2015-04-08T00:00:00-03:00,08/04/2015,Sec. de Energia
179.0,267,MPL,Pendiente,"Ministerio de Planificación Federal, Inversión Publica y Servicios",52889/2015,Nota,Mesa General de entradas,M. de Planificacion Federal Inversion Publica y Servicios,2015-03-13T00:00:00-03:00,3/13/2015,2015-03-13T00:00:00-03:00,3/13/2015,Particular,Solicita información sobre el Grupo de trabajo para el análisis y estudio de la incidencia en los distintos sectores de los subsidios establecidos por el Poder Ejecutivo bajo Resolución Conjunta 693/2011 y 1900/2011 Ministerio de Economía y Planificación,Información político - institucional,Ss. de Coord. y Control de Gestion,,,Pendiente,,,
180.0,268,MPL,Cerrado en plazo,"Ministerio de Planificación Federal, Inversión Publica y Servicios",57830/2015,Nota,Mesa General de entradas,M. de Planificacion Federal Inversion Publica y Servicios,2015-03-19T00:00:00-03:00,3/19/2015,2015-03-19T00:00:00-03:00,3/19/2015,Senador/Diputado u otro cargo electo,Solicita saber si el Ministerio guardaba documentación en el depósito incendiado de la empresa Iron Mountain,Información político - institucional,Ss. de Coord. y Control de Gestion,En el plazo máximo de 20 días,Por carta,Brindó la información,2015-04-09T00:00:00-03:00,09/04/2015,Ss. de Coord. y Control de Gestion
181.0,269,MPL,Cerrado en plazo,"Ministerio de Planificación Federal, Inversión Publica y Servicios",60660/2015,Nota,Mesa General de entradas,M. de Planificacion Federal Inversion Publica y Servicios,2015-03-25T00:00:00-03:00,3/25/2015,2015-03-25T00:00:00-03:00,3/25/2015,Senador/Diputado u otro cargo electo,"Solicita información sobre la cantidad de cámaras instaladas, el mantenimiento de las mismas y medidas de prevención.",Información político - institucional,ENRE,En el plazo máximo de 20 días,,Brindó la información,2015-04-23T00:00:00-03:00,23/04/2015,ENRE
182.0,270,MPL,Cerrado en plazo,"Ministerio de Planificación Federal, Inversión Publica y Servicios",62489/2015,Nota,Mesa General de entradas,M. de Planificacion Federal Inversion Publica y Servicios,2015-03-26T00:00:00-03:00,3/26/2015,2015-03-17T00:00:00-03:00,3/17/2015,Senador/Diputado u otro cargo electo,Solicita información sobre los programas de vivienda vigentes en Río Negro,Implementación de políticas públicas,Sec. de Obras Publicas,En el plazo máximo de 20 días,Por carta,Brindó la información,2015-04-28T00:00:00-03:00,28/04/2015,Sec. De Obras Publicas
183.0,271,MPL,Cerrado fuera de plazo,"Ministerio de Planificación Federal, Inversión Publica y Servicios",62494/2015,Nota,Mesa General de entradas,M. de Planificacion Federal Inversion Publica y Servicios,2015-03-26T00:00:00-03:00,3/26/2015,2015-03-26T00:00:00-03:00,3/26/2015,Senador/Diputado u otro cargo electo,Solicita información sobre el cumplimiento de las leyes Nº 25.019 y nº 26.190,Normativa/ documentos oficiales,Sec. de Energia,"Se contestó, pero luego de los 20 días",,Brindó la información,2015-06-04T00:00:00-03:00,04/06/2015,Sec. de Energia
184.0,272,MPL,Cerrado en plazo,"Ministerio de Planificación Federal, Inversión Publica y Servicios",TRI-S01:25336/2015,Nota,Mesa General de entradas,M. de Planificacion Federal Inversion Publica y Servicios,2015-03-26T00:00:00-03:00,3/26/2015,2015-04-04T00:00:00-03:00,4/4/2015,Senador/Diputado u otro cargo electo,Solicita información sobre el cumplimiento del Fallo de la Sala II de la Cámara Nacional en lo Contencioso administrativo Federal en la causa Proconsumer c/EN Secretaria de Comunicaciones Resol. 8/09 s/ proceso de conocimiento,Actuaciones administrativas,Sec. de Comunicaciones,En el plazo máximo de 20 días,Por carta,Brindó la información,2015-04-27T00:00:00-03:00,27/04/2015,Sec. De Comunicaciones
